"Path","Hash","Size","Reason","ChunkOffset","DataOffset"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_06\256_cliff02.nif","0xC9A19BFB","158502","missing","20513167844","20513168112"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_06\256_cliff02_d.dds","0xB7665E1C","2796344","missing","20513326614","20513326882"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_06\256_cliff03.nif","0xC9A2285C","167358","missing","20516123226","20516123494"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_06\256_cliff04.nif","0xC9A2B4BD","288952","missing","20516290852","20516291120"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_06\256_cliff05.nif","0xC9A3411E","206460","missing","20516580072","20516580340"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_06\256_cliff06.nif","0xC9A3CD7F","35306","missing","20516786800","20516787068"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_06\256_cliff07.nif","0xC9A459E0","108282","missing","20516822374","20516822642"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_06\256_cliff08.nif","0xC9A4E641","127830","missing","20516930924","20516931192"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_06\256_cliff09.nif","0xC9A572A2","331086","missing","20517059022","20517059290"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_06\256_cliff10.nif","0xC9B29BBA","258510","missing","20517390376","20517390644"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_06\256_cliff11.nif","0xC9B3281B","385950","missing","20517649154","20517649422"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_06\256_cliff_hole_01.nif","0xDE266F60","244722","missing","20518035372","20518035640"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_06\256_cliff_hole_02.nif","0xDE26FBC1","315344","missing","20518280362","20518280630"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_06\256_cliff_hole_03.nif","0xDE278822","333056","missing","20518595974","20518596242"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_06\256_cliff_hole_05.nif","0xDE28A0E4","206486","missing","20518929298","20518929566"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_06\256_cliff_hole_06.nif","0xDE292D45","35332","missing","20519136052","20519136320"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_06\256_cliff_sub_01 - default_basecolor.dds","0xE219140B","2796344","missing","20519171652","20519171920"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_06\256_cliff_sub_01-default_basecolor.dds","0xD3BDD8EB","2796344","missing","20521968264","20521968532"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_06\256_cliff_test.nif","0xEBE333B8","244815","missing","20524764876","20524765144"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_07\256_cliff01.nif","0x6CE87D5B","123626","missing","20525009959","20525010227"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_07\256_cliff01_d.dds","0x47EB177C","2796344","missing","20525133853","20525134121"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_07\256_cliff02.nif","0x6CE909BC","158502","missing","20527930465","20527930733"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_07\256_cliff02_d.dds","0x4A40401D","2796344","missing","20528089235","20528089503"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_07\256_cliff03.nif","0x6CE9961D","167358","missing","20530885847","20530886115"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_07\256_cliff04.nif","0x6CEA227E","288952","missing","20531053473","20531053741"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_07\256_cliff05.nif","0x6CEAAEDF","206460","missing","20531342693","20531342961"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_07\256_cliff06.nif","0x6CEB3B40","35306","missing","20531549421","20531549689"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_07\256_cliff07.nif","0x6CEBC7A1","108282","missing","20531584995","20531585263"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_07\256_cliff08.nif","0x6CEC5402","127830","missing","20531693545","20531693813"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_07\256_cliff09.nif","0x6CECE063","331086","missing","20531821643","20531821911"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_07\256_cliff10.nif","0x6CFA097B","258510","missing","20532152997","20532153265"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_07\256_cliff11.nif","0x6CFA95DC","385950","missing","20532411775","20532412043"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_07\256_cliff_hole_01.nif","0x2F3369E1","244722","missing","20532797993","20532798261"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_07\256_cliff_hole_02.nif","0x2F33F642","315344","missing","20533042983","20533043251"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_07\256_cliff_hole_03.nif","0x2F3482A3","333056","missing","20533358595","20533358863"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_07\256_cliff_hole_05.nif","0x2F359B65","206486","missing","20533691919","20533692187"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_07\256_cliff_hole_06.nif","0x2F3627C6","35332","missing","20533898673","20533898941"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_07\256_cliff_sub_01 - default_basecolor.dds","0xE2AE2CEC","2796344","missing","20533934273","20533934541"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_07\256_cliff_sub_01-default_basecolor.dds","0x74C5458C","2796344","missing","20536730885","20536731153"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_07\256_cliff_test.nif","0xD9F955D9","244815","missing","20539527497","20539527765"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_08\256_cliff01.nif","0x102FEB1C","123626","missing","20539772580","20539772848"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_08\256_cliff01_d.dds","0xDAC4F97D","2796344","missing","20539896474","20539896742"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_08\256_cliff02.nif","0x1030777D","158502","missing","20542693086","20542693354"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_08\256_cliff02_d.dds","0xDD1A221E","2796344","missing","20542851856","20542852124"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_08\256_cliff03.nif","0x103103DE","167358","missing","20545648468","20545648736"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_08\256_cliff04.nif","0x1031903F","288952","missing","20545816094","20545816362"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_08\256_cliff05.nif","0x10321CA0","206460","missing","20546105314","20546105582"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_08\256_cliff06.nif","0x1032A901","35306","missing","20546312042","20546312310"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_08\256_cliff07.nif","0x10333562","108282","missing","20546347616","20546347884"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_08\256_cliff08.nif","0x1033C1C3","127830","missing","20546456166","20546456434"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_08\256_cliff09.nif","0x10344E24","331086","missing","20546584264","20546584532"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_08\256_cliff10.nif","0x1041773C","258510","missing","20546915618","20546915886"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_08\256_cliff11.nif","0x1042039D","385950","missing","20547174396","20547174664"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_08\256_cliff_hole_01.nif","0x80406462","244722","missing","20547560614","20547560882"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_08\256_cliff_hole_02.nif","0x8040F0C3","315344","missing","20547805604","20547805872"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_08\256_cliff_hole_03.nif","0x80417D24","333056","missing","20548121216","20548121484"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_08\256_cliff_hole_05.nif","0x804295E6","206486","missing","20548454540","20548454808"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_08\256_cliff_hole_06.nif","0x80432247","35332","missing","20548661294","20548661562"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_08\256_cliff_sub_01 - default_basecolor.dds","0xE34345CD","2796344","missing","20548696894","20548697162"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_08\256_cliff_sub_01-default_basecolor.dds","0x15CCB22D","2796344","missing","20551493506","20551493774"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_08\256_cliff_test.nif","0xC80F77FA","244815","missing","20554290118","20554290386"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_09\256_cliff01.nif","0xB37758DD","123626","missing","20554535201","20554535469"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_09\256_cliff01_d.dds","0x6D9EDB7E","2796344","missing","20554659095","20554659363"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_09\256_cliff02.nif","0xB377E53E","158502","missing","20557455707","20557455975"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_09\256_cliff02_d.dds","0x6FF4041F","2796344","missing","20557614477","20557614745"
"data\map\digitalworld\adventure_02\object_data\structure\cliff_09\256_cliff03.nif","0xB378719F","167358","missing","20560411089","20560411357"
