"OriginalFunction","FunctionAddress","CopiedFile","RefAddress","TargetAddress","TargetSymbol","Value"
"FUN_011ae540","011ae540","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","011aeb3d","01ae141c","s_SEALMASTER_STATE_COMBO_AS_01ae141c","SEALMASTER_STATE_COMBO_AS"
"FUN_011ae540","011ae540","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","011aeaaa","01ae1438","s_SEALMASTER_STATE_COMBO_AT_01ae1438","SEALMASTER_STATE_COMBO_AT"
"FUN_011ae540","011ae540","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","011aec63","01ae1454","s_SEALMASTER_STATE_COMBO_HT_01ae1454","SEALMASTER_STATE_COMBO_HT"
"FUN_011ae540","011ae540","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","011aebd0","01ae1470","s_SEALMASTER_STATE_COMBO_CT_01ae1470","SEALMASTER_STATE_COMBO_CT"
"FUN_011ae540","011ae540","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","011aed89","01ae148c","s_SEALMASTER_STATE_COMBO_BL_01ae148c","SEALMASTER_STATE_COMBO_BL"
"FUN_011ae540","011ae540","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","011aecf6","01ae14a8","s_SEALMASTER_STATE_COMBO_DE_01ae14a8","SEALMASTER_STATE_COMBO_DE"
"FUN_011ae540","011ae540","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","011aee1c","01ae14f4","s_SEALMASTER_STATE_COMBO_EV_01ae14f4","SEALMASTER_STATE_COMBO_EV"
"FUN_011ae540","011ae540","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","011ae5ec","01ae65fc","s_Control_G\ComboBox\Combo.tga_01ae65fc","Control_G\ComboBox\Combo.tga"
"FUN_011ae540","011ae540","decompiled\ExtraInventoryUI\Seal\BuildSealStatFilterDropdown.original.c","011ae6e6","01ae661c","s_Control_G\Popup\ON2Dlg_01ae661c","Control_G\Popup\ON2Dlg"
"FUN_011ac950","011ac950","decompiled\ExtraInventoryUI\Seal\HandleSealAlreadyMasteredMessage.original.c","011ac9d7","01ad0cf0","s_COMMON_NOT_USE_NOW_01ad0cf0","COMMON_NOT_USE_NOW"
"FUN_011ac950","011ac950","decompiled\ExtraInventoryUI\Seal\HandleSealAlreadyMasteredMessage.original.c","011aca3f","01ae1388","s_EXTRA_INVEN_SEAL_ALREADY_MASTERE_01ae1388","EXTRA_INVEN_SEAL_ALREADY_MASTERED"
"FUN_01055f10","01055f10","decompiled\Shared\HandleExtraInventoryAlreadySorted.original.c","010560af","01acfe54","s_COMMON_NOT_USE_TIME_01acfe54","COMMON_NOT_USE_TIME"
"FUN_01055f10","01055f10","decompiled\Shared\HandleExtraInventoryAlreadySorted.original.c","01055f85","01ad0cf0","s_COMMON_NOT_USE_NOW_01ad0cf0","COMMON_NOT_USE_NOW"
"FUN_01055f10","01055f10","decompiled\Shared\HandleExtraInventoryAlreadySorted.original.c","0105604e","01ad0cf0","s_COMMON_NOT_USE_NOW_01ad0cf0","COMMON_NOT_USE_NOW"
"FUN_01055f10","01055f10","decompiled\Shared\HandleExtraInventoryAlreadySorted.original.c","0105611f","01ad0d1c","s_EXTRA_INVEN_ALREADY_SORTED_01ad0d1c","EXTRA_INVEN_ALREADY_SORTED"
"FUN_01054c10","01054c10","decompiled\Shared\HandleExtraInventoryFailure.original.c","01054cb1","01ace3c0","s_MESSAGE_BOX_CAPTION_NOTICE_01ace3c0","MESSAGE_BOX_CAPTION_NOTICE"
"FUN_01054c10","01054c10","decompiled\Shared\HandleExtraInventoryFailure.original.c","01054d5a","01ad0cd8","s_FAILURE_EXTRA_INVENTORY_01ad0cd8","FAILURE_EXTRA_INVENTORY"
"FUN_01057d70","01057d70","decompiled\Shared\HandleExtraInventoryFilterFail.original.c","01057dcb","01ad0e10","s_EXTRA_INVEN_DURING_FILTER_FAIL_01ad0e10","EXTRA_INVEN_DURING_FILTER_FAIL"
"FUN_010578a0","010578a0","decompiled\Shared\HandleExtraInventoryWrongMove.original.c","0105791f","01ad0cf0","s_COMMON_NOT_USE_NOW_01ad0cf0","COMMON_NOT_USE_NOW"
"FUN_010578a0","010578a0","decompiled\Shared\HandleExtraInventoryWrongMove.original.c","01057a37","01ad0cf0","s_COMMON_NOT_USE_NOW_01ad0cf0","COMMON_NOT_USE_NOW"
"FUN_010578a0","010578a0","decompiled\Shared\HandleExtraInventoryWrongMove.original.c","01057a91","01ad0df4","s_EXTRA_INVEN_WRONG_ITEM_MOVE_01ad0df4","EXTRA_INVEN_WRONG_ITEM_MOVE"
"FUN_01643ff0","01643ff0","decompiled\Shared\LoadExtraInventoryEvoDataTable.original.c","01644019","01a1b130","u_DM_Extra_Inven-Evo_Data.bin_01a1b130","DM_Extra_Inven-Evo_Data.bin"
"FUN_0167c050","0167c050","decompiled\Shared\LoadExtraInventoryTextTable.original.c","0167c095","01a1d580","u_DM_Extra_Inven-EvoExInven_Str.bi_01a1d580","DM_Extra_Inven-EvoExInven_Str.bin"
"FUN_0167c050","0167c050","decompiled\Shared\LoadExtraInventoryTextTable.original.c","0167c1fb","01abdaa4","s_list_too_long_01abdaa4","list too long"
"FUN_016760d0","016760d0","decompiled\Shared\LoadSealMasterNameText.original.c","01676115","01a1d0d4","u_SealMasterName_Str.bin_01a1d0d4","SealMasterName_Str.bin"
"FUN_016760d0","016760d0","decompiled\Shared\LoadSealMasterNameText.original.c","01676270","01abdaa4","s_list_too_long_01abdaa4","list too long"
